model,feature_set,split,params,accuracy,f1_macro,mcc,roc_auc,pred_up_rate
majority_class,-,val,,0.5314285714285715,0.34701492537313433,0.0,0.5,1.0
majority_class,-,test,,0.5909090909090909,0.37142857142857144,0.0,0.5,1.0
persistence,-,val,,0.5142857142857142,0.5119910764082543,0.024015755476396304,0.5119984264358772,0.5371428571428571
persistence,-,test,,0.5454545454545454,0.5318526399787206,0.06384727609467736,0.532051282051282,0.5795454545454546
logreg,market,val,{'C': 0.01},0.4685714285714286,0.46794599365785083,-0.05518276885279954,0.4712824547600314,0.4342857142857143
logreg,market,test,{'C': 0.01},0.5227272727272727,0.5151515151515151,0.03369660867872945,0.5686431623931624,0.5340909090909091
xgboost,market,val,"{'max_depth': 3, 'n_estimators': 100, 'learning_rate': 0.1}",0.5314285714285715,0.5095023243095433,0.04320508081633525,0.5009179124049304,0.68
xgboost,market,test,"{'max_depth': 3, 'n_estimators': 100, 'learning_rate': 0.1}",0.5795454545454546,0.5457589285714286,0.10149974286764378,0.5483440170940171,0.6818181818181818
logreg,nlp,val,{'C': 0.01},0.4342857142857143,0.41209406494960804,-0.11571938678145036,0.42840283241542093,0.2742857142857143
logreg,nlp,test,{'C': 0.01},0.4943181818181818,0.4802057408329185,0.09657708928175149,0.6151175213675214,0.24431818181818182
xgboost,nlp,val,"{'max_depth': 2, 'n_estimators': 100, 'learning_rate': 0.1}",0.4857142857142857,0.4493006993006993,-0.06394632780318422,0.41260162601626016,0.7257142857142858
xgboost,nlp,test,"{'max_depth': 2, 'n_estimators': 100, 'learning_rate': 0.1}",0.48863636363636365,0.4869801787796346,-0.010530190212102953,0.5132211538461539,0.4659090909090909
logreg,market+nlp,val,{'C': 10.0},0.4857142857142857,0.4852941176470588,-0.021223601133905787,0.471675845790716,0.44
logreg,market+nlp,test,{'C': 10.0},0.5056818181818182,0.5052825433750121,0.05733664650337913,0.5765224358974359,0.3806818181818182
xgboost,market+nlp,val,"{'max_depth': 3, 'n_estimators': 100, 'learning_rate': 0.03}",0.5314285714285715,0.46165966386554624,0.028647776200878064,0.46275898242853397,0.8285714285714286
xgboost,market+nlp,test,"{'max_depth': 3, 'n_estimators': 100, 'learning_rate': 0.03}",0.5965909090909091,0.5415153182902219,0.11858199570037842,0.579326923076923,0.7556818181818182
